Mobile Page,Mobile Name,Price,Company Name,Mobile Image,Mobile Rate
https://jumia.com.eg/apple-iphone-13-6.1-inch-single-sim-5g-128gb4gbmobile-phone-midnight-61454775.html,Apple IPhone 13 - 6.1 Inch Single SIM 5G 128GB/4GBMobile Phone - Midnight,30999.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/745416/1.jpg?3546,0
https://jumia.com.eg/one-plus-oneplus-10t-dual-sim-5g-16gb-ram-256gb-green-67225240.html,"One Plus OnePlus 10T Dual SIM 5G, 16GB RAM, 256GB - Green",30222.0,One Plus,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/252276/1.jpg?7196,0
https://jumia.com.eg/iphone-11-with-facetime-128gb-white-apple-mpg700759.html,Apple IPhone 11 With FaceTime - 128GB - White,29999.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/964051/1.jpg?1509,4.5
https://jumia.com.eg/samsung-galaxy-flip-3-6.7-inch-single-sim-5g-256gb8gb-mobile-phone-green-61454789.html,Samsung Galaxy Flip 3 - 6.7 Inch Single SIM 5G 256GB/8GB Mobile Phone - Green,29999.0,Samsung,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/745416/1.jpg?3845,0
https://jumia.com.eg/iphone-12-with-facetime-128gb-white-apple-mpg757132.html,Apple iPhone 12 with FaceTime - 128GB - White,29900.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/378502/1.jpg?5124,4.0
https://jumia.com.eg/apple-iphone-12-with-facetime-128gb-green-20877157.html,Apple IPhone 12 With FaceTime - 128GB - Green,29900.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/177802/1.jpg?6504,0
https://jumia.com.eg/iphone-12-with-facetime-128gb-blue-apple-mpg756594.html,Apple IPhone 12 With FaceTime - 128GB - Blue,28400.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/378502/1.jpg?5124,4.6
https://jumia.com.eg/apple-iphone-11-128gb-facetime-white-85307150.html,Apple IPhone 11 - 128GB - Facetime - White,26499.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/170358/1.jpg?6419,0
https://jumia.com.eg/apple-iphone-11-128-gb-2b-warranty-black-58426350.html,Apple IPhone 11 128 GB (2B Warranty) Black,26499.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/362485/1.jpg?1636,0
https://jumia.com.eg/apple-iphone-11-with-facetime-128gb-black-41371799.html,Apple IPhone 11 With FaceTime - 128GB - Black,25999.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/717314/1.jpg?2806,0
